car,move
C,-1
D,-1
D,1
D,-1
G,1
X,-2
F,1
A,-1
B,-1
H,1
E,1
X,1
F,1
A,-1
F,-1
A,1
X,1
J,1
A,-1
J,1
F,1
K,1
K,-1
J,-1
K,1
B,-1
J,1
K,-1
E,1
B,1
J,-1
X,-1
E,-1
K,2
L,-1
B,-1
J,-1
I,-1
X,-1
B,1
A,1
A,-1
L,-2
X,1
A,1
E,-1
X,-1
I,-2
X,1
K,-1
A,-1
B,-1
K,-1
G,1
F,-2
H,-2
H,-1
X,3
