car,move
X,-2
A,-1
A,-1
C,-1
D,-1
B,-1
G,1
A,1
F,1
B,1
E,1
X,1
B,-1
A,-1
J,1
H,1
J,1
A,1
F,1
K,2
L,-1
A,-1
L,-2
I,-4
L,-1
K,-2
B,-1
K,2
K,-1
G,1
I,1
G,-1
K,1
G,1
K,-1
K,-1
I,-1
F,-1
H,-3
I,1
L,1
I,-1
G,-1
L,-1
G,1
X,2
X,1
