car,move
A,-1
A,-1
B,-2
H,1
B,1
C,-1
H,-1
D,-1
H,1
X,-1
G,1
X,1
A,1
G,-1
A,-1
G,1
B,-1
F,1
B,1
E,1
F,1
B,-1
K,1
X,-1
K,1
L,-3
I,-3
K,-2
F,-1
E,-1
G,1
X,1
X,1
H,-3
X,1
