car,move
P,-1
AR,-1
H,-1
F,1
AP,1
AK,-1
E,1
AP,-1
B,-2
AB,1
C,-1
E,1
AP,1
AK,1
AO,1
B,-1
AQ,-2
J,1
AC,2
E,-1
P,1
K,1
AQ,1
P,1
P,-2
I,1
AA,-1
S,1
B,1
A,-2
AK,-1
I,-1
N,1
E,1
A,2
P,1
AE,-1
A,-2
AA,2
AO,1
J,-1
A,1
C,1
H,1
R,2
F,1
K,-1
U,-3
G,-1
AE,1
AC,-2
K,1
AE,-1
U,3
AK,1
U,-1
Q,-1
AR,1
A,1
K,-1
I,1
M,-1
L,-1
I,-1
C,-1
I,1
C,1
AQ,1
AR,-1
J,-2
T,2
X,1
X,1
R,1
H,2
X,-1
X,-2
J,-1
AA,-1
L,1
S,2
B,-1
K,1
AO,-1
B,1
AK,-1
B,-1
A,1
B,1
P,-1
AB,-1
H,-2
X,1
X,1
X,1
C,-2
X,-3
N,-1
AQ,-1
G,-1
H,1
B,-1
AK,1
AQ,-1
AG,1
C,1
AR,1
P,1
AO,-1
S,-2
G,1
Q,1
AP,-1
AA,1
F,1
K,-1
H,1
A,-1
B,1
N,1
R,-1
N,-2
T,-2
B,-1
AJ,1
U,-1
C,1
H,-1
A,-1
Y,1
AA,-1
AR,-1
N,2
X,1
L,-1
X,-1
S,-1
Y,-1
B,1
D,-1
J,1
J,3
D,1
H,1
S,1
AB,1
AR,1
Q,1
S,-1
AC,2
A,1
M,1
A,-1
G,1
AR,-1
A,1
AA,-3
D,-1
P,1
G,-1
A,-1
AC,-1
D,1
AK,-1
Y,1
P,-1
M,-1
AA,4
AA,-3
P,-1
S,1
T,2
U,-1
S,-1
O,1
X,1
X,1
X,1
X,1
X,1
X,1
AK,1
B,-1
AK,-1
B,1
AE,1
Q,-1
O,-1
AC,2
C,-1
A,-1
AC,-2
S,3
N,-1
V,1
N,1
B,-1
AE,-1
L,1
D,-1
H,-1
AK,1
S,-1
J,-1
B,-4
AE,1
Q,-2
P,2
AK,-1
C,-1
J,1
H,1
D,1
AA,-2
AD,1
AA,1
AC,2
S,-1
AC,-1
C,-1
L,-1
AD,-1
T,-2
B,1
H,-1
AC,1
F,-1
AB,-1
X,1
X,1
X,1
